employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,manager_id,department_id
100,Steven,King,steven.king@sqltutorial.org,515.123.4567,6/17/1987 12:00:00 AM,4,24000.00,,9
101,Neena,Kochhar,neena.kochhar@sqltutorial.org,515.123.4568,9/21/1989 12:00:00 AM,5,17000.00,100,9
102,Lex,De Haan,lex.de haan@sqltutorial.org,515.123.4569,1/13/1993 12:00:00 AM,5,17000.00,100,9
103,Alexander,Hunold,alexander.hunold@sqltutorial.org,590.423.4567,1/3/1990 12:00:00 AM,9,9000.00,102,6
104,Bruce,Ernst,bruce.ernst@sqltutorial.org,590.423.4568,5/21/1991 12:00:00 AM,9,6000.00,103,6
105,David,Austin,david.austin@sqltutorial.org,590.423.4569,6/25/1997 12:00:00 AM,9,4800.00,103,6
106,Valli,Pataballa,valli.pataballa@sqltutorial.org,590.423.4560,2/5/1998 12:00:00 AM,9,4800.00,103,6
107,Diana,Lorentz,diana.lorentz@sqltutorial.org,590.423.5567,2/7/1999 12:00:00 AM,9,4200.00,103,6
108,Nancy,Greenberg,nancy.greenberg@sqltutorial.org,515.124.4569,8/17/1994 12:00:00 AM,7,12000.00,101,10
109,Daniel,Faviet,daniel.faviet@sqltutorial.org,515.124.4169,8/16/1994 12:00:00 AM,6,9000.00,108,10
110,John,Chen,john.chen@sqltutorial.org,515.124.4269,9/28/1997 12:00:00 AM,6,8200.00,108,10
111,Ismael,Sciarra,ismael.sciarra@sqltutorial.org,515.124.4369,9/30/1997 12:00:00 AM,6,7700.00,108,10
112,Jose Manuel,Urman,jose manuel.urman@sqltutorial.org,515.124.4469,3/7/1998 12:00:00 AM,6,7800.00,108,10
113,Luis,Popp,luis.popp@sqltutorial.org,515.124.4567,12/7/1999 12:00:00 AM,6,6900.00,108,10
114,Den,Raphaely,den.raphaely@sqltutorial.org,515.127.4561,12/7/1994 12:00:00 AM,14,11000.00,100,3
115,Alexander,Khoo,alexander.khoo@sqltutorial.org,515.127.4562,5/18/1995 12:00:00 AM,13,3100.00,114,3
116,Shelli,Baida,shelli.baida@sqltutorial.org,515.127.4563,12/24/1997 12:00:00 AM,13,2900.00,114,3
117,Sigal,Tobias,sigal.tobias@sqltutorial.org,515.127.4564,7/24/1997 12:00:00 AM,13,2800.00,114,3
118,Guy,Himuro,guy.himuro@sqltutorial.org,515.127.4565,11/15/1998 12:00:00 AM,13,2600.00,114,3
119,Karen,Colmenares,karen.colmenares@sqltutorial.org,515.127.4566,8/10/1999 12:00:00 AM,13,2500.00,114,3
120,Matthew,Weiss,matthew.weiss@sqltutorial.org,650.123.1234,7/18/1996 12:00:00 AM,19,8000.00,100,5
121,Adam,Fripp,adam.fripp@sqltutorial.org,650.123.2234,4/10/1997 12:00:00 AM,19,8200.00,100,5
122,Payam,Kaufling,payam.kaufling@sqltutorial.org,650.123.3234,5/1/1995 12:00:00 AM,19,7900.00,100,5
123,Shanta,Vollman,shanta.vollman@sqltutorial.org,650.123.4234,10/10/1997 12:00:00 AM,19,6500.00,100,5
126,Irene,Mikkilineni,irene.mikkilineni@sqltutorial.org,650.124.1224,9/28/1998 12:00:00 AM,18,2700.00,120,5
145,John,Russell,john.russell@sqltutorial.org,,10/1/1996 12:00:00 AM,15,14000.00,100,8
146,Karen,Partners,karen.partners@sqltutorial.org,,1/5/1997 12:00:00 AM,15,13500.00,100,8
176,Jonathon,Taylor,jonathon.taylor@sqltutorial.org,,3/24/1998 12:00:00 AM,16,8600.00,100,8
177,Jack,Livingston,jack.livingston@sqltutorial.org,,4/23/1998 12:00:00 AM,16,8400.00,100,8
178,Kimberely,Grant,kimberely.grant@sqltutorial.org,,5/24/1999 12:00:00 AM,16,7000.00,100,8
179,Charles,Johnson,charles.johnson@sqltutorial.org,,1/4/2000 12:00:00 AM,16,6200.00,100,8
192,Sarah,Bell,sarah.bell@sqltutorial.org,650.501.1876,2/4/1996 12:00:00 AM,17,4000.00,123,5
193,Britney,Everett,britney.everett@sqltutorial.org,650.501.2876,3/3/1997 12:00:00 AM,17,3900.00,123,5
200,Jennifer,Whalen,jennifer.whalen@sqltutorial.org,515.123.4444,9/17/1987 12:00:00 AM,3,4400.00,101,1
201,Michael,Hartstein,michael.hartstein@sqltutorial.org,515.123.5555,2/17/1996 12:00:00 AM,10,13000.00,100,2
202,Pat,Fay,pat.fay@sqltutorial.org,603.123.6666,8/17/1997 12:00:00 AM,11,6000.00,201,2
203,Susan,Mavris,susan.mavris@sqltutorial.org,515.123.7777,6/7/1994 12:00:00 AM,8,6500.00,101,4
204,Hermann,Baer,hermann.baer@sqltutorial.org,515.123.8888,6/7/1994 12:00:00 AM,12,10000.00,101,7
205,Shelley,Higgins,shelley.higgins@sqltutorial.org,515.123.8080,6/7/1994 12:00:00 AM,2,12000.00,101,11
206,William,Gietz,william.gietz@sqltutorial.org,515.123.8181,6/7/1994 12:00:00 AM,1,8300.00,205,11
207,Truong,The,aaa@gmail.com,1234567,4/10/2025 12:00:00 AM,9,10000.00,100,6
208,Truong,The,aaa@gmail.com,1234567,4/10/2025 12:00:00 AM,9,10000.00,100,6
